Listing Name,Price,Room Type,Reviews,Location
Sunny Spot in Heart of Williamsburg,282,Entire home/apt,13 reviews,"Williamsburg, Brooklyn"
A bedroom with a sunroom!,174,Entire home/apt,5 reviews,"Fort Greene, Brooklyn"
The artist's house part 3,78,Private room,10 reviews,"Lefferts Garden, Brooklyn"
Spacious w/ Private Rooftop!,109,Private room,14 reviews,"Williamsburg, Brooklyn"
Williamsburg! Walk 2 NYC!!!,65,Private room,110 reviews,"Williamsburg, Brooklyn"
GIANT LOFT - HEART of WILLIAMSBURG!,161,Private room,19 reviews,"Williamsburg, Brooklyn"
"The Hillary, Lovely Garden Duplex,",194,Entire home/apt,47 reviews,"Bedford-Stuyvesant, Brooklyn"
Modern Sunny Queer Friendly Loft,65,Private room,32 reviews,"Williamsburg, Brooklyn"
Private Bedroom in a Large 3-BR Apt,78,Private room,73 reviews,"Williamsburg, Brooklyn"
3BR in trendy WilliamsburgBrooklyn,258,Entire home/apt,1 review,"Williamsburg, Brooklyn"
"Room for Rent in Brooklyn, NY",37,Private room,0 reviews,"Williamsburg, Brooklyn"
Bohemian Williamsburg loft,168,Entire home/apt,15 reviews,"Williamsburg, Brooklyn"
Large room in great neighborhood,102,Private room,72 reviews,"Williamsburg, Brooklyn"
Appartement lumineux Williamsburg.,355,Entire home/apt,4 reviews,"Williamsburg, Brooklyn"
Cosy and convenient Apartment,161,Entire home/apt,14 reviews,"Carroll Gardens, Brooklyn"
Bright Quiet 1BD in the Heart of BK,194,Entire home/apt,5 reviews,"Boerum Hill, Brooklyn"
#2~Studio Suite-10 mins Manhattan!,128,Entire home/apt,32 reviews,"Clinton Hill, Brooklyn"
Comfy room in Brooklyn,57,Private room,1 review,"Bedford-Stuyvesant, Brooklyn"
Artsy Room in Bed-Stuy w/ Rooftop,78,Private room,50 reviews,"Bedford-Stuyvesant, Brooklyn"
Spacious 2 BR apartment in Bed-Stuy,180,Entire home/apt,9 reviews,"Bedford-Stuyvesant, Brooklyn"
Williamsburg apartment with terrace,226,Entire home/apt,72 reviews,"Williamsburg, Brooklyn"
"Charming 1 Bdr Apartment, New York",207,Entire home/apt,6 reviews,"Williamsburg, Brooklyn"
"♥ of Williamsburg, Private Entrance",167,Private room,52 reviews,"Williamsburg, Brooklyn"
2 Bedroom Bushwick Apartment,180,Entire home/apt,34 reviews,"Bushwick, Brooklyn"
New studio APT with marble floors!,88,Entire home/apt,59 reviews,"Bushwick, Brooklyn"
"Peace room, private bath, breakfast",103,Private room,24 reviews,"Bedford-Stuyvesant, Brooklyn"
Bedroom in the heart of Williamburg,123,Private room,10 reviews,"Williamsburg, Brooklyn"
Photographer's loft with great view,136,Entire home/apt,46 reviews,"Brooklyn Navy Yard, Brooklyn"
"large bdroom, priv bth, priv living",110,Private room,28 reviews,"Bedford-Stuyvesant, Brooklyn"
Perfect in Park Slope: EZ 2 NYC,194,Entire home/apt,13 reviews,"Park Slope, Brooklyn"
"Enjoy the City, Come Home to Brklyn",110,Private room,41 reviews,"Park Slope, Brooklyn"
Spacious & Sunny in Prime Brooklyn,194,Entire home/apt,26 reviews,"Clinton Hill, Brooklyn"
Personal Studio in Crown Heights,89,Private room,15 reviews,"Crown Heights, Brooklyn"
Large Private B&B Style Studio,103,Entire home/apt,46 reviews,"Bedford-Stuyvesant, Brooklyn"
The Black and White Loft,71,Private room,3 reviews,"Williamsburg, Brooklyn"
Park Slope Oasis: Your home base!,141,Entire home/apt,1 review,"Park Slope, Brooklyn"
"Cozy, Bright Bushwick Room off L&M",87,Private room,6 reviews,"Bushwick, Brooklyn"
Sunny Large Room in Artists Loft,78,Private room,10 reviews,"Bushwick, Brooklyn"
Private Master Suite in Park Slope,149,Private room,95 reviews,"Park Slope, Brooklyn"
Bedroom in a spacious artsy Loft,78,Private room,48 reviews,"Williamsburg, Brooklyn"
Cozy place in the Bay Ridge NY,123,Entire home/apt,1 review,"Bay Ridge, Brooklyn"
Williamsburg house w/huge garden,452,Entire home/apt,4 reviews,"Williamsburg, Brooklyn"
Williamsburg/Greenpoint Parkside,317,Entire home/apt,11 reviews,"Greenpoint, Brooklyn"
Williamsburg - Spacious & Charming!,74,Private room,14 reviews,"Williamsburg, Brooklyn"
"The M, a Charming Garden Apartment",142,Entire home/apt,34 reviews,"Bedford-Stuyvesant, Brooklyn"
Loft 305: Classic Brooklyn,218,Entire home/apt,30 reviews,"Greenpoint, Brooklyn"
"Large, peaceful Brooklyn apartment",110,Private room,13 reviews,"Park Slope, Brooklyn"
"Cozy room, overlooking garden",84,Private room,22 reviews,"Bedford-Stuyvesant, Brooklyn"
Luxe Private 1BR in Spacious Duplex,75,Private room,9 reviews,"Bushwick, Brooklyn"
"Williamsburg house, Lorimer L stop",123,Private room,28 reviews,"Williamsburg, Brooklyn"
Private Rm in Beautiful Brownstone,71,Private room,7 reviews,"Bushwick, Brooklyn"
"Cozy, Clean Cobble Hill Brownstone",181,Entire home/apt,60 reviews,"Cobble Hill, Brooklyn"
Lovely Bklyn Duplex w/ Courtyard,323,Entire home/apt,48 reviews,"Boerum Hill, Brooklyn"
Williamsburg Penthouse Hideaway,84,Private room,43 reviews,"Williamsburg, Brooklyn"
Lovely sun-lit 3-bedroom apartment,233,Entire home/apt,24 reviews,"Bedford-Stuyvesant, Brooklyn"
Wake up with NYC outside yr window!,78,Private room,6 reviews,"Prospect Heights, Brooklyn"
"Lovely Park Slope Apt, Brooklyn",136,Private room,22 reviews,"Park Slope, Brooklyn"
Brooklyn Budget Williamsburg NYC 3,65,Private room,76 reviews,"Williamsburg, Brooklyn"
Park Slope Brooklyn!  Sunny Bedroom,149,Private room,112 reviews,"Park Slope, Brooklyn"
New 1BR + 1BA with Private Entrance,115,Private room,22 reviews,"Bedford-Stuyvesant, Brooklyn"
Bargain Private Room #1,102,Private room,16 reviews,"Bushwick, Brooklyn"
Two Bedrooms with Private Rooftop,252,Entire home/apt,5 reviews,"Williamsburg, Brooklyn"
Big sunny room just off bedford ave,76,Private room,44 reviews,"Williamsburg, Brooklyn"
Beautiful Views from True Brooklyn,90,Private room,22 reviews,"Bedford-Stuyvesant, Brooklyn"
ZEN LOFT 3 - 10 MIN TO MANHATTAN :),90,Private room,2 reviews,"Williamsburg, Brooklyn"
Large room in great neighborhood,102,Private room,72 reviews,"Williamsburg, Brooklyn"
Cozy bedroom in an arty apartment!,76,Private room,3 reviews,"Bedford-Stuyvesant, Brooklyn"
2nd Fl Bklyn Brownstone Apt!,129,Entire home/apt,33 reviews,"Lefferts Garden, Brooklyn"
Sunny 2nd floor 2BR Apartment!,128,Entire home/apt,13 reviews,"Dyker Heights, Brooklyn"
Spacious & Stylish-Central location,194,Entire home/apt,27 reviews,"Williamsburg, New York"
Bargain Private Room #2,102,Private room,13 reviews,"Bushwick, Brooklyn"
Central Williamsburg with Garden,84,Private room,23 reviews,"Williamsburg, Brooklyn"
Beautiful room attached to bathroom,102,Private room,34 reviews,"Greenpoint, Brooklyn"
Bright gem in North Williamsburg,194,Entire home/apt,26 reviews,"Williamsburg, Brooklyn"
